36	14.18
35.9	14.32
35.8	14.41
35.7	14.48
35.6	14.75
35.5	14.63
35.4	14.72
35.3	14.92
35.2	15.17
35.1	14.97
35	15.29
34.9	15.33
34.8	15.19
34.7	14.87
34.6	14.94
34.5	15.73
34.4	16.02
34.3	16.09
34.2	16.27
34.1	16.46
34	16.13
33.9	16.13
33.8	16.64
33.7	16.84
33.6	16.76
33.5	17.13
33.4	17.63
33.3	17.01
33.2	17.42
33.1	17.36
33	17.58
32.9	17.5
32.8	17.63
32.7	18.06
32.6	17.87
32.5	18.47
32.4	18.15
32.3	18.08
32.2	18.09
32.1	18.53
32	18.45
31.9	18.59
31.8	18.65
31.7	18.41
31.6	18.56
31.5	18.57
31.4	18.49
31.3	19.17
31.2	19.38
31.1	19.55
31	20.28
30.9	20.16
30.8	20.1
30.7	19.9
30.6	19.81
30.5	20.31
30.4	20.27
30.3	20.31
30.2	20.31
30.1	20.42
30	20.43
